iter	Passed	Remaining
405	5479	8016
406	5490	7999
407	5499	7979
408	5512	7964
409	5522	7946
410	5532	7927
411	5542	7910
412	5552	7891
413	5566	7879
414	5578	7863
415	5590	7848
416	5599	7829
417	5627	7835
418	5639	7819
419	5648	7800
420	5659	7783
421	5669	7765
422	5680	7748
423	5690	7730
424	5701	7713
425	5711	7696
426	5725	7682
427	5740	7672
428	5753	7657
429	5764	7641
430	5776	7626
431	5789	7611
432	5808	7606
433	5822	7592
434	5831	7573
435	5843	7559
436	5856	7544
437	5873	7536
438	5884	7520
439	5895	7503
440	5907	7487
441	5919	7472
442	5929	7454
443	5939	7438
444	5951	7422
445	5960	7404
446	5971	7387
447	5982	7371
448	5991	7353
449	6005	7340
450	6017	7325
451	6026	7306
452	6037	7290
453	6048	7274
454	6057	7256
455	6068	7239
456	6078	7222
457	6087	7204
458	6099	7188
459	6109	7171
460	6119	7155
461	6131	7140
462	6140	7122
463	6151	7106
464	6163	7091
465	6173	7074
466	6183	7057
467	6195	7042
468	6205	7026
469	6216	7010
470	6227	6994
471	6237	6977
472	6247	6960
473	6257	6943
474	6268	6927
475	6279	6912
476	6288	6895
477	6299	6879
478	6312	6865
479	6322	6849
480	6332	6832
481	6344	6818
482	6354	6801
483	6365	6786
484	6377	6771
485	6387	6755
486	6398	6739
487	6412	6727
488	6426	6715
489	6436	6698
490	6452	6688
491	6464	6674
492	6476	6660
493	6486	6643
494	6496	6628
495	6508	6613
496	6517	6596
497	6528	6581
498	6540	6566
499	6549	6549
500	6559	6533
501	6569	6516
502	6579	6500
503	6592	6487
504	6603	6473
505	6613	6457
506	6624	6441
507	6634	6425
508	6649	6414
509	6664	6402
510	6679	6392
511	6695	6381
512	6709	6369
513	6721	6355
514	6731	6338
515	6741	6323
516	6753	6309
517	6763	6293
518	6777	6281
519	6793	6270
520	6806	6257
521	6816	6242
522	6827	6226
523	6840	6213
524	6853	6200
525	6863	6184
526	6873	6169
527	6884	6154
528	6894	6138
529	6905	6123
530	6916	6108
531	6926	6093
532	6936	6077
533	6946	6061
534	6957	6047
535	6968	6032
536	6978	6016
537	6988	6001
538	7000	5987
539	7010	5971
540	7020	5956
541	7031	5941
542	7041	5926
543	7051	5911
544	7062	5896
545	7072	5881
546	7083	5866
547	7093	5850
548	7103	5835
549	7114	5821
550	7123	5804
551	7134	5790
552	7146	5776
553	7156	5761
554	7166	5746
555	7178	5732
556	7188	5716
557	7198	5702
558	7208	5686
559	7218	5671
560	7231	5659
561	7244	5646
562	7254	5631
563	7266	5617
564	7278	5604
565	7288	5588
566	7304	5578
567	7322	5569
568	7338	5559
569	7354	5547
570	7368	5536
571	7382	5523
572	7394	5510
573	7404	5495
574	7417	5482
575	7430	5469
576	7446	5459
577	7461	5447
578	7477	5436
579	7494	5427
580	7504	5411
581	7516	5398
582	7529	5385
583	7541	5372
584	7551	5356
585	7563	5343
586	7575	5329
587	7584	5314
588	7598	5302
589	7610	5288
590	7619	5273
591	7630	5258
592	7641	5244
593	7651	5229
594	7661	5215
595	7675	5203
596	7688	5189
597	7698	5174
598	7708	5160
599	7720	5146
600	7729	5131
601	7740	5117
602	7749	5102
603	7760	5087
604	7771	5073
605	7782	5059
606	7792	5045
607	7803	5031
608	7814	5017
609	7825	5003
610	7837	4989
611	7847	4975
612	7858	4961
613	7870	4947
614	7879	4932
615	7890	4918
616	7901	4904
617	7910	4889
618	7922	4876
619	7933	4862
620	7943	4848
621	7954	4833
622	7964	4819
623	7974	4805
624	7985	4791
625	7994	4776
626	8005	4762
627	8015	4748
628	8026	4734
629	8036	4719
630	8048	4706
631	8057	4691
632	8068	4677
633	8078	4663
634	8088	4649
635	8099	4635
636	8108	4620
637	8119	4606
638	8134	4595
639	8145	4581
640	8154	4566
641	8164	4553
642	8174	4538
643	8184	4524
644	8196	4511
645	8206	4496
646	8216	4483
647	8228	4469
648	8237	4455
649	8248	4441
650	8257	4426
651	8268	4413
652	8281	4400
653	8291	4386
654	8301	4372
655	8312	4359
656	8322	4344
657	8333	4331
658	8344	4317
659	8353	4303
660	8364	4289
661	8376	4276
662	8385	4262
663	8396	4248
664	8406	4234
665	8416	4220
666	8428	4207
667	8438	4194
668	8449	4180
669	8459	4166
670	8469	4152
671	8480	4139
672	8490	4125
673	8500	4111
674	8513	4099
675	8530	4088
676	8544	4076
677	8556	4063
678	8567	4050
679	8579	4037
680	8593	4025
681	8607	4013
682	8617	3999
683	8631	3987
684	8643	3974
685	8656	3962
686	8666	3948
687	8680	3936
688	8692	3923
689	8706	3911
690	8717	3898
691	8731	3886
692	8745	3874
693	8758	3861
694	8772	3849
695	8784	3836
696	8795	3823
697	8807	3810
698	8819	3797
699	8830	3784
700	8843	3772
701	8856	3759
702	8871	3747
703	8886	3736
704	8901	3724
705	8924	3716
706	8940	3705
707	8955	3693
708	8969	3681
709	8980	3667
710	8992	3655
711	9005	3642
712	9019	3630
713	9031	3617
714	9042	3604
715	9056	3592
716	9073	3581
717	9084	3568
718	9097	3555
719	9108	3542
720	9121	3529
721	9134	3517
722	9147	3504
723	9157	3491
724	9170	3478
725	9184	3466
726	9197	3453
727	9209	3440
728	9224	3428
729	9240	3417
730	9255	3406
731	9270	3394
732	9283	3381
733	9296	3369
734	9307	3355
735	9320	3343
736	9335	3331
737	9346	3318
738	9356	3304
739	9368	3291
740	9381	3279
741	9393	3266
742	9404	3252
743	9416	3240
744	9429	3227
745	9440	3214
746	9452	3201
747	9466	3189
748	9480	3177
749	9493	3164
750	9503	3151
751	9516	3138
752	9529	3125
753	9541	3112
754	9553	3100
755	9565	3087
756	9578	3074
757	9591	3062
758	9602	3048
759	9614	3036
760	9627	3023
761	9638	3010
762	9649	2997
763	9662	2984
764	9675	2972
765	9688	2959
766	9698	2946
767	9711	2933
768	9724	2921
769	9737	2908
770	9751	2896
771	9762	2883
772	9775	2870
773	9787	2857
774	9797	2844
775	9808	2831
776	9821	2818
777	9831	2805
778	9844	2792
779	9856	2780
780	9869	2767
781	9880	2754
782	9893	2741
783	9906	2729
784	9918	2716
785	9928	2703
786	9941	2690
787	9954	2678
788	9966	2665
789	9978	2652
790	9990	2639
791	10004	2627
792	10015	2614
793	10026	2601
794	10039	2588
795	10052	2576
796	10064	2563
797	10075	2550
798	10088	2538
799	10101	2525
800	10113	2512
801	10123	2499
802	10136	2486
803	10151	2474
804	10166	2462
805	10178	2449
806	10189	2436
807	10201	2424
808	10212	2411
809	10222	2397
810	10232	2384
811	10242	2371
812	10252	2358
813	10264	2345
814	10276	2332
815	10287	2319
816	10301	2307
817	10313	2294
818	10325	2282
819	10336	2269
820	10350	2256
821	10366	2244
822	10379	2232
823	10390	2219
824	10402	2206
825	10414	2193
826	10426	2181
827	10437	2168
828	10450	2155
829	10462	2142
830	10474	2130
831	10485	2117
832	10497	2104
833	10510	2092
834	10522	2079
835	10533	2066
836	10546	2053
837	10561	2041
838	10577	2029
839	10589	2017
840	10600	2004
841	10612	1991
842	10625	1978
843	10640	1966
844	10650	1953
845	10663	1941
846	10676	1928
847	10689	1916
848	10699	1903
849	10713	1890
850	10726	1878
851	10739	1865
852	10750	1852
853	10762	1839
854	10775	1827
855	10788	1814
856	10799	1801
857	10811	1789
858	10824	1776
859	10838	1764
860	10850	1751
861	10862	1738
862	10875	1726
863	10888	1713
864	10901	1701
865	10911	1688
866	10924	1675
867	10939	1663
868	10953	1651
869	10965	1638
870	10979	1626
871	10990	1613
872	11003	1600
873	11015	1588
874	11026	1575
875	11040	1562
876	11053	1550
877	11066	1537
878	11076	1524
879	11088	1512
880	11100	1499
881	11110	1486
882	11121	1473
883	11135	1461
884	11149	1448
885	11162	1436
886	11172	1423
887	11185	1410
888	11198	1398
889	11209	1385
890	11221	1372
891	11233	1360
892	11246	1347
893	11256	1334
894	11269	1322
895	11281	1309
896	11295	1297
897	11305	1284
898	11318	1271
899	11331	1259
900	11345	1246
901	11357	1233
902	11370	1221
903	11381	1208
904	11395	1196
905	11407	1183
906	11421	1171
907	11434	1158
908	11446	1145
909	11458	1133
910	11469	1120
911	11482	1107
912	11494	1095
913	11505	1082
914	11516	1069
915	11527	1057
916	11538	1044
917	11549	1031
